buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"207","1810133744",P,15.1,"5","8680",841314.136,819039.982
"208","1108246825",P,16.6,"5","4690",841095.770,819200.626
"209","1108246819",P,15.6,"5","8818",840861.022,819207.023
"210","1108246791",P,12.9,"4","1474",840570.020,819276.274
"211","1108246811",P,14.6,"4","3460",841156.715,819225.827
"212","1108246838",P,13.9,"4","3450",841191.289,819183.934
"213","1108246833",P,13.8,"4","3502",840881.015,819187.457
"214","1108246777",P,24.5,"8","29038",840941.891,819280.113
"215","1108246881",P,13.5,"4","2139",840731.114,819087.522
"216","1108246879",P,19.8,"6","6183",841178.414,819081.455
"217","1108246877",P,14.2,"4","11007",841386.984,819075.598
"218","1108246916",P,15.5,"5","24463",841480.997,818982.338
"219","1108246889",P,14.8,"4","11023",841412.772,819045.741
"220","1108246906",P,13.6,"4","13894",841444.278,819015.320
"221","1108246884",P,15.2,"5","9310",841294.618,819066.338
"222","1108246948",P,14.2,"4","3714",841292.536,818901.647
"223","1108246920",P,14.6,"4","8839",840738.303,818989.833
"224","1108246951",P,15.4,"5","4780",841062.168,818875.156
"225","1108246890",P,14.6,"4","5738",841245.600,819053.521
"226","1108246924",P,15.8,"5","6171",841049.936,818983.565
"227","1108246892",P,5.9,"1","1823",841090.045,819038.910
"228","1108246940",P,14.9,"4","7555",841391.120,818922.537
"229","1108246957",P,15.7,"5","9296",841265.235,818841.280
"230","1108246914",P,14.7,"4","1788",841015.671,819023.022
"231","1108246918",P,14.1,"4","2066",841028.131,819008.254
"232","1108246911",P,14.7,"4","5013",841276.447,819016.801
"233","1108246958",P,15.7,"5","4638",841084.561,818848.281
"234","1108246967",P,15.6,"5","4555",841097.766,818832.391
"235","1108246944",P,14.5,"4","3575",841108.384,818913.365
"236","1108246973",P,14.9,"4","3710",841108.739,818819.065
"237","1108247029",P,15.2,"5","16430",841035.082,818695.384
"238","1108246984",P,15.4,"5","38441",841099.431,818744.371
"239","1108246979",P,13.5,"4","6934",841220.122,818803.851
"240","1108246516",P,14.2,"4","1341",840197.055,819735.487
"241","1108247073",P,3.2,"1","514",841058.398,818637.411
"242","1109261489",P,34.4,"11","27903",841364.001,819108.015
"243","1109609299",P,9.9,"3","1504",840826.365,819055.259
"244","1109609308",P,12.5,"4","1839",840347.813,819557.769
"245","1109609311",P,6.2,"2","4796",840792.582,819113.013
"246","1108246641",P,15.4,"5","26856",840571.439,819521.519
"247","1108246573",P,14.5,"4","2605",840281.256,819652.690
"248","1108246661",P,15.4,"5","5674",840673.398,819509.538
"249","1108246618",P,13.7,"4","1352",840339.527,819595.482
"250","1108246587",P,14.0,"4","1315",840300.617,819633.764
"251","1810074616",P,15.3,"5","5453",840607.477,819470.398
"252","1810083909",P,15.2,"5","4538",841141.873,818778.395
"253","1810088279",P,15.5,"5","8250",841181.084,819289.745
"254","1108246715",P,14.1,"4","3903",840578.124,819402.317
"255","1108246730",P,15.4,"5","8810",841007.113,819380.443
"256","1108246760",P,14.0,"4","7259",841060.976,819307.708
"257","1108246697",P,16.4,"5","43007",840859.420,819404.206
"258","1108246745",P,14.5,"4","1475",840482.976,819361.055
"259","1108246766",P,15.0,"5","2412",840605.949,819315.539
"260","1108246716",P,15.3,"5","12905",840924.351,819379.349
"261","1810104765",P,3.8,"1","872",840775.032,819291.104
"262","1108246721",P,15.1,"5","13964",840952.756,819368.215
"263","1108246714",P,11.7,"3","1474",840511.909,819407.543
"264","1108246767",P,15.5,"5","2393",840667.240,819315.135
"265","1108246711",P,14.1,"4","1964",840562.450,819417.665
"266","1108246688",P,12.8,"4","4185",840591.234,819454.735
"267","1108246723",P,13.3,"4","3733",840527.288,819391.817
"268","1108246747",P,10.8,"3","9884",840989.267,819336.550
"269","1108246710",P,13.9,"4","1994",840501.272,819418.011
"270","1108246740",P,15.5,"5","8392",841043.775,819350.537
"271","1108246762",P,15.2,"5","4120",841154.249,819322.888
"272","1108246698",P,19.6,"6","5872",840536.281,819443.117
"273","1108246686",P,13.1,"4","2043",840497.121,819468.676
"274","1108246780",P,12.8,"4","5717",840497.825,819283.064
"275","1108246806",P,14.8,"4","3401",841144.531,819239.258
"276","1108246820",P,17.6,"5","4583",841084.007,819214.957
"277","1108246821",P,6.0,"2","3492",841173.962,819204.828
"278","1108246770",P,10.6,"3","2605",840762.221,819304.362
"279","1108246824",P,18.4,"6","2331",840694.060,819210.800
"280","1108246809",P,13.6,"4","3538",840841.047,819226.751
"281","1108246805",P,13.7,"4","3588",840827.615,819240.017
"282","1108240074",T,46.3,"15","13408",840930.714,819032.293
"283","1108246937",P,14.6,"4","4571",841000.368,818950.305
"284","1108246930",P,4.8,"1","1088",840986.824,818966.427
"285","1108246921",P,14.8,"4","3526",840889.143,818998.535
"286","1108246922",P,15.6,"5","5263",840970.704,818988.194
"287","1108246888",P,14.7,"4","2162",840915.180,819071.714
"288","1108246942",P,14.6,"4","9904",840958.575,818920.918
