originid,destinationid,distance,duration
15,12,1651,1377
15,13,633,539
15,14,446,404
15,16,734,687
15,17,934,869
15,18,1651,1377
15,19,3071,2541
15,20,616,486
15,21,3075,2467
15,22,734,687
15,23,1812,1380
15,24,2432,1961
15,25,388,351
15,26,688,537
15,27,1590,1231
15,28,657,516
15,29,945,886
15,30,734,687
15,31,480,425
15,32,734,687
15,33,1199,962
15,34,996,928
15,35,1144,874
15,36,1184,954
15,37,1319,1048
15,38,1168,893
15,39,945,886
15,40,860,692
15,41,1319,1048
15,42,982,864
15,43,1467,1159
15,44,394,357
15,45,734,687
15,46,1651,1377
15,47,1891,1590
15,48,734,687
15,49,1651,1377
15,51,1912,1486
15,52,1572,1220
15,53,1651,1377
15,54,349,308
15,55,1861,1445
15,56,820,749
15,57,944,885
15,58,643,601
15,59,876,703
15,60,1309,1044
15,61,452,396
15,62,394,357
15,63,483,449
15,64,688,537
15,65,1400,1208
15,66,1861,1445
15,67,1698,1480
15,68,1144,874
15,69,1188,956
15,70,136,103
15,71,1651,1377
15,72,737,669
15,73,616,486
15,74,821,664
15,75,1651,1377
15,76,734,687
15,77,647,506
15,78,1441,1140
15,79,1058,980
15,80,1651,1377
15,81,1784,1488
15,82,1244,946
15,83,1698,1480
15,84,616,486
15,86,2186,1781
16,1,1043,820
16,2,1908,1535
16,3,1108,941
16,4,1547,1216
16,5,2355,1951
16,6,1033,905
16,7,749,600
16,8,710,606
16,9,1037,947
16,10,0,0
16,11,968,799
16,12,2147,1732
16,13,1217,1006
16,14,710,606
16,15,734,616
16,17,1326,1212
16,18,2147,1732
16,19,2382,1888
16,20,1009,829
16,21,2386,1815
16,22,0,0
16,23,2050,1593
16,24,1743,1308
16,25,676,572
16,26,669,579
16,27,1074,840
16,28,1050,860
16,29,985,907
16,30,0,0
16,31,622,533
16,32,0,0
16,33,1065,824
16,34,1037,949
16,35,1210,977
16,36,461,388
16,37,1185,910
16,38,1301,1045
16,39,985,907
16,40,354,303
16,41,1185,910
16,42,1545,1288
16,43,743,594
16,44,683,577
16,45,0,0
16,46,2147,1732
16,47,1419,1211
16,48,0,0
16,49,2147,1732
16,51,1189,921
16,52,1117,871
16,53,2147,1732
16,54,746,621
16,55,1138,880
16,56,962,857
16,57,985,907
16,58,942,825
16,59,338,290
16,60,632,514
16,61,612,520
16,62,683,577
16,63,857,730
16,64,669,579
16,65,711,556
16,66,1138,880
16,67,1009,827
16,68,1210,977
16,69,465,391
16,70,788,648
16,71,2147,1732
16,72,1300,1092
16,73,1009,829
16,74,204,156
16,75,2147,1732
16,76,0,0
16,77,710,607
16,78,717,574
16,79,978,906
16,80,2147,1732
16,81,1191,1012
16,82,1339,1067
16,83,1009,827
16,84,1009,829
16,86,1497,1128
17,1,2331,1986
17,2,1257,1081
17,3,1096,1069
17,4,1512,1222
17,5,1704,1497
17,6,1299,1237
17,7,1216,1035
17,8,1089,1014
17,9,1636,1535
17,10,1326,1169
17,11,358,384
17,12,1496,1278
17,13,1162,1061
17,14,1089,1014
17,15,934,845
17,16,1326,1169
17,18,1496,1278
17,19,3671,3054
17,20,279,327
17,21,3675,2981
17,22,1326,1169
17,23,1391,1154
17,24,3031,2474
17,25,1030,961
17,26,657,598
17,27,1321,1112
17,28,276,325
17,29,1587,1495
17,30,1326,1169
17,31,1123,1034
17,32,1326,1169
17,33,965,852
17,34,1639,1537
17,35,724,651
17,36,1153,1015
17,37,1084,938
17,38,748,670
17,39,1587,1495
17,40,1532,1323
17,41,1084,938
17,42,1511,1391
17,43,1436,1221
17,44,1037,966
17,45,1326,1169
17,46,1496,1278
17,47,2534,2200
17,48,1326,1169
17,49,1496,1278
17,51,1881,1548
17,52,1303,1102
17,53,1496,1278
17,54,922,866
17,55,1830,1507
17,56,1462,1358
17,57,1587,1495
17,58,1285,1210
17,59,1548,1334
17,60,1212,1061
17,61,1094,1006
17,62,1037,966
17,63,1126,1058
17,64,657,598
17,65,2037,1725
17,66,1830,1507
17,67,2336,1996
17,68,724,651
17,69,1157,1018
17,70,882,800
17,71,1496,1278
17,72,1266,1195
17,73,279,327
17,74,1493,1294
17,75,1496,1278
17,76,1326,1169
17,77,616,567
17,78,1409,1201
17,79,1700,1589
17,80,1496,1278
17,81,2426,2098
17,82,824,722
17,83,2336,1996
17,84,279,327
17,86,2786,2294
18,1,3177,2409
18,2,488,343
18,3,1522,1280
18,4,1378,984
18,5,202,184
18,6,1851,1558
18,7,1597,1147
18,8,1757,1401
18,9,2244,1902
18,10,2219,1673
18,11,1517,1077
18,12,0,0
18,13,1298,1074
18,14,1757,1401
18,15,1651,1300
18,16,2219,1673
18,17,1568,1264
18,19,4241,3247
18,20,1507,1067
18,21,4245,3173
18,22,2219,1673
18,23,1068,764
18,24,3600,2665
18,25,1699,1351
18,26,1550,1104
18,27,1433,1067
18,28,1504,1065
18,29,2287,1904
18,30,2219,1673
18,31,1823,1443
18,32,2219,1673
18,33,1346,964
18,34,2247,1904
18,35,1105,763
18,36,1851,1328
18,37,1465,1050
18,38,1129,782
18,39,2287,1904
18,40,2245,1768
18,41,1465,1050
18,42,888,814
18,43,2282,1644
18,44,1705,1356
18,45,2219,1673
18,46,0,0
18,47,3233,2608
18,48,2219,1673
18,49,0,0
18,51,2432,1774
18,52,1373,1022
18,53,0,0
18,54,1537,1214
18,55,2597,1873
18,56,2162,1767
18,57,2287,1904
18,58,1837,1539
18,59,2262,1779
18,60,1714,1238
18,61,1801,1419
18,62,1705,1356
18,63,1677,1387
18,64,1550,1104
18,65,2930,2229
18,66,2597,1873
18,67,3165,2441
18,68,1105,763
18,69,1881,1363
18,70,1598,1255
18,71,0,0
18,72,1133,976
18,73,1507,1067
18,74,2210,1749
18,75,0,0
18,76,2219,1673
18,77,1509,1073
18,78,2098,1518
18,79,2335,1974
18,80,0,0
18,81,3126,2507
18,82,943,643
18,83,3165,2441
18,84,1507,1067
18,86,3534,2634
19,1,1485,1093
19,2,3869,2919
19,3,3414,2625
19,4,3198,2369
19,5,4315,3335
19,6,3174,2450
19,7,2661,1973
19,8,3016,2289
19,9,2819,2218
19,10,2382,1753
